Designator,Package,Quantity,Designation,Supplier and ref,,
"Q6,Q7,Q4,Q3,Q5,Q1,Q2",2n3904 Transistor,7,2N3904,https://www.rapidonline.com/trusemi-2n3904-transistor-npn-to92-60v-81-0484,,
J1,Multicomp Connector,1,EURORACK POWER,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033,,
U5,TO 220 TYPE 7805,1,L7805,https://www.rapidonline.com/st-l7805cv-5v-1a-voltage-regulator-47-3290,,
U4,TL074 Quad Opamp (and 14 pin ic socket),1,TL074,https://www.rapidonline.com/Catalogue/Search?Query=tl074&Size=20,,
"U3,U2,U1",Pt2399 Delay (and 16 pin ic sockets),3,PT2399,https://www.ebay.co.uk/itm/PT2399-Echo-Delay-Reverb-Processor-IC-2-5-10-20-50pcs-UK-Seller/163689544756?hash=item261ca83c34:m:me5hxNb2AICTOTz4eHTud1g,,
"SW1,SW2",DPDT MINI TOGGLE SWITCH ON-ON,2,"BYPASS,HIGH",https://www.rapidonline.com/salecom-t8011-sebq-h-dpdt-on-on-min-toggle-switch-75-0087,,
"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10",B100k Potentiometer Alps RK09K Or Equivalent,1,Potentiometers,https://www.thonk.co.uk/shop/alpha-9mm-pots/,,
"R48,R43,R39,R38,R37,R34,R33,R29,R6,R5,R4",Metal Film Resistor 1/4Watt,11,100k,https://www.ebay.co.uk/itm/1-4W-Metal-Film-Resistors-1-Values-1ohm-to-10Mohm-12-25-50-100/321411096993?_trkparms=ispr%3D1&hash=item4ad59821a1:m:mGLiWyHVPZnLKxYU9vqtAIQ&enc=AQAEAAACcIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKtMiVu7s8Kj2Ur48i56ldd0lJQDAeQlsqlKbG75XfFX1WbMQ66s5hf51%2BIeQl%2FZNx99U1H%2B6lzzlUUOVwDeMdCC7bYOWfii4adTWZvk22wHnfyhHx1qJsP5FxCaTVsN1Fk7ffveJT%2FzkUBeED0g4THVUE%2BllXKzXlQCMQsZ16E%2B99DhAi1QGcv4IqtGM4shexE%2FtC7BxMuCGmaREQg7jm13jmBZDKycFkNpqxeQwarSom8ooA6FbpqRh98zyonQX4PFSl2SZ3s%2Bk7mC%2BPuGyRyrJZdaDA3G9Q48rssmJvrPHlUQ08mL0a7on0U9S2xxqGftO2pE6q%2Bgy2Y743MOJFWV6WtNQ0nRDxJRyLXH3NLm0duh7vGOU0yARXwXw86f8Cul6QybbsjZR6Jj8gCjMLO4MhI8JIVCGZsH%2FqG0MAgoC5%2Fce50a3UtjYm5OK1Xrhpm1fLlTvKVLG1V6wncXh2LBDtBuKU0N2Kt6RscEmI34yhgIZ0lf2Y0aP6PmsCtl357TuTN0lha71xWmoAtlB9oXc6bXpkaf%2F8piSuT4WdRysPGgkOOD6MUdm%2Bh%2FvMAx5mTGrInaKeDzlS%2Fu%2Fq1HNyJNU8836S0yGL9gP5GXwzP3qSEwDJj8SCfA5qJH3QTeOxNlxEd2w3a7zg0iaJccj9M3GkH8elSjgDs6G4TVg4h3HQWXNbGPT57iMJwePaSx125rOrHgKbPCoFTLNxjZ%2BBvRvh5U1bpmGn9ZuYAgjbLU%2FhdtTSSuAi0vCtZeFU9qecgk6nh7qXGYcIbuBv%2FFNJXQ%3D%3D&checksum=3214110969933dcef916f57545e69111b2f9697937bd,,
"R47,R46,R45,R44,R41,R22,R15,R9,R3,R2,R1,R49,R50,R51",Metal Film Resistor 1/4Watt,14,1k,,,
"R42,R28,R27,R26,R23,R16,R14,R10,R8",Metal Film Resistor 1/4Watt,9,15k,,,
R40,Metal Film Resistor 1/4Watt,1,30k,,,
R36,Metal Film Resistor 1/4Watt,1,24k,,,
R35,Metal Film Resistor 1/4Watt,1,47k,,,
"R32,R30,R25,R24,R20,R19,R18,R17,R13,R12,R11,R7",Metal Film Resistor 1/4Watt,12,10k,,,
"R31,R21",Metal Film Resistor 1/4Watt,2,4k7,,,
"FB2,FB1",Metal Film Resistor 1/4Watt,2,10R,,,
