Designator,Package,Quantity,Designation,Supplier and ref
U2,TO-92_Inline_Wide,1,TL431,rapidonline.com/texas-instruments-tl431clp-precision-regulator-82-0298
"J25,J27,J29",8 Pin Headers Male for connecting boards,3,"MAIN A,MAIN B, MAIN C",https://www.ebay.co.uk/itm/Female-Male-Header-Pins-Strip-0-1-2-54mm-for-Breadboard-PCB-DuPont-arduino-pi/362947699737?var=632071630604&_trkparms=ispr%3D1&hash=item54815e6419:m:m_rPNY5AVKZ5KstWj8Cu9rA&enc=AQAEAAACcIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKs4ijYSTGv0%2BdOMHOyVlosEvhK%2Bz0EF2fWAaYJunv84KaDfFCAfFMu9UzeYhr3kLDiB0ehxAYFeWMUkLzqkPMKTHyAgQJTCfugciMeV1f4N16dRJZxDipHIcKFFUJVvI6n7O5qu1J%2Fn7PoHHoLsuFLoYZp8lAZCXeDns9x9oRll%2FYZP4JK61F29qQjJLG3fcfPypWsUva5eOofBTn1XejMyu4Xofs5MePEHXK5VlhGl3j3TpEuAmUGYDMbLps7m8JBiJitap68%2Fl1oHJmUwKCSwfqWXv7HWuFW8r2GOL%2Fc4V3%2BDi7jVzcP4YN69Cv0M94pYYq8%2BX0ZXTYy0spXEkPePuwmwfqPpeGaUf%2B8txAgt0y0rPMu%2FkVYenJ28d%2FSpNghRCzslPjFzEMguZyWrAfRSWV8O7MI6gna%2FKzY8Czu8QMgnqCf1Q2fqE7Yp5HehAbQLJSdQJ8F5dS67a%2BS3Nd8VKrF21%2F879boa%2FjdgBM30CbLC5hIMfFYPF%2FjG5QPWdwjgA%2BRSHUJGdRfVr4i97Vd%2BG1VtvyJC15IMKjhHWkeWb%2FPVx%2FrmRLBGmbl2LXbGU0c7FsvV7TWUbFhh6S1rQbUxsyZpTDm1YosAKMY5Raqmt%2Ft%2BN%2BDVjT8ZY%2F9cr3IdAw0owO7A00502U0F6zUF4L02%2FRFjs7ZhWwrhD5M8JshK%2BjYExvSNVMAZk34MFdOpIJ45klHHdeVBa3rt55N4F%2FqK%2FHMbL1C6u8SGsjKLf7SOkXJqCNXBNnmDSxX5j%2FoJ3qs6KT%2Bjf7IdoJuqlwYbKyMg%3D%3D&checksum=36294769973742bb1f3266064222af6db071631768ac
J1,Multicomp_MC9A12-1034_2x05_P2.54mm_Vertical,1,Eurorack STYLE POWER,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033
"C2,C1,C3",CP_Radial_D6.3mm_P2.50mm,3,10uf,https://www.rapidonline.com/forever-10uf-20-35v-105-c-p-2mm-radial-electrolytic-capacitor-11-1220
"C5,C14,C15,C16,C17,C24,C25,C28",Ceramic Capacitor,8,100nf,https://www.rapidonline.com/suntan-ts170r1h104msbfa0r-0-1uf-20-50v-y5v-p-2-54mm-radial-ceramic-capacitor-11-3455
"C6,C7",Ceramic Capacitor,2,22pf,https://www.rapidonline.com/suntan-ts15001h220ksbna0r-22pf-10-50v-np0-2-5mm-ceramic-disc-capacitor-08-0046
"C8,C9,C10,C11,C12,C13,C18,C19,C20,C21,C22,C23",Ceramic Capacitor,12,10nf,https://www.rapidonline.com/suntan-ts15001h103zsbva0r-10nf-20-80-50v-2-5mm-z5v-ceramic-disc-capacitor-08-0232
C4,TANTALUM CAPACITOR 1uf,1,1uf TANTALUM,https://www.rapidonline.com/suntan-ts19001v010msb0b0r-1uf-35v-5-08mm-tantalum-bead-capacitor-11-0688
D1,Signal Diode,1,1N4148,https://www.rapidonline.com/dc-components-1n4148-pack-of-5000-signal-diode-75v-47-3415
"J2,J4,J5",Molex 3 pin male,3,"MIDI THRU, IN",https://www.rapidonline.com/jyk-p2500-03-3-pole-straight-header-22-0955
