Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C1,C2",Electrolytic Capacitor,2,10uf,https://www.rapidonline.com/forever-10uf-20-35v-105-c-p-2mm-radial-electrolytic-capacitor-11-1220
2,"C3,C4,C5,C6,C7,C8",Ceramic Capacitor,6,100nf,https://www.rapidonline.com/suntan-ts170r1h104msbfa0r-0-1uf-20-50v-y5v-p-2-54mm-radial-ceramic-capacitor-11-3455
3,"D1,D2",BIPOLAR 5mm LED,2,LED,https://www.rapidonline.com/kingbright-l-57egw-5mm-red-green-led-bi-colour-55-0172
4,"FB1,FB2",Metal Film Resistor,2,10R,https://www.rapidonline.com/10r-0-25w-royal-ohm-metal-film-resistor-100pc-cut-tape-62-3406
5,J1,Eurorack Connector,1,,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033
7,"J2,J3,J4,J5,J6,J7J8,J9,J10,J11",Jack_6.5,10,,https://www.rapidonline.com/truconnect-3-pole-box-style-jack-socket-20-1397
8,"R3,R4,R5,R6,R8,R9,R10,R11",Metal Film Resistor,8,100R,https://www.rapidonline.com/100r-0-25w-royal-ohm-metal-film-resistor-100pc-cut-tape-62-3426
9,"R7,R12",Metal Film Resistor,2,1K,https://www.rapidonline.com/1k-0-25w-royal-ohm-metal-film-resistor-100pc-cut-tape-62-3450
10,"U1,U3",DIP-14_W7.62mm_LongPads,2,TL074,https://www.rapidonline.com/Catalogue/Search?Query=tl074
11,U2,DIP-8_W7.62mm_LongPads,1,TL072,https://www.rapidonline.com/Catalogue/Search?Query=tl072
12,"R1,R2",Metal Film Resistor,2,10M,https://www.rapidonline.com/10m-0-25w-royal-ohm-metal-film-resistor-100pc-cut-tape-62-3524
