Id,Designator,Package,Quantity,Designation,Supplier and ref,,
2,"D4,D3",D_DO-34_SOD68_P7.62mm_Horizontal,2,BZX55C2V0,https://www.ebay.co.uk/itm/0-5W-Zener-Diodes-BZX55C-Series-500mW-BZX55-DO-35-Many-Values-UK-Stock/113418083885?hash=item1a683e9e2d:m:mLbf73HZvHmO8FyTZKoNSvg,,
3,J1,Multicomp_MC9A12-1034_2x05_P2.54mm_Vertical,1,EURORACK POWER,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033,,
4,U3,DIP-14_W7.62mm_LongPads,1,AS3360,,,
5,"U2,U1",DIP-14_W7.62mm_LongPads,2,TL074,,,
21,"FB2,FB1",Resistor (preferable metal film 0.25W),2,10R,,,
6,"R30,R29,R28,R27,R24,R23,R22,R21,R12,R11,R10,R9,R8,R7,R6,R5,R3,R1",Resistor (preferable metal film 0.25W),18,100K,,,
7,"R26,R25,R20,R16",Resistor (preferable metal film 0.25W),4,1K,,,
8,"R19,R15",Resistor (preferable metal film 0.25W),2,47K,,,
9,"R18,R14",Resistor (preferable metal film 0.25W),2,20K,,,
10,"R17,R13",Resistor (preferable metal film 0.25W),2,6k8,,,
11,"R4,R2",Resistor (preferable metal film 0.25W),2,220K,,,
12,"Q2,Q1",TO-92_Inline_Wide,2,2N3904,,,
13,"J9,J8,J7,J6,J5,J4",Jack_6.5,1,OUTPUT2,https://www.mouser.co.uk/ProductDetail/REAN-Neutrik/NYS232?qs=%2Fha2pyFadugmnx0kZ8I0yxhALEezTEMSgSeTGJnT%252B4ByD9HE33EqVg==,,
19,"J3,J2, Also female for the daughter board",PinHeader_1x06_P2.54mm_Vertical,1,Main Board,,,
22,"C7,C6,C5,C4",Ceramic Capacitor,4,100nf,,,
23,"C3,C2",Electrolytic Capacitor,2,10uf,,,
24,C1,Ceramic Capacitor,1,4n7,,,
25,"RV1,RV2",B100k Potentiometer,2,,https://www.thonk.co.uk/shop/alpha-9mm-pots/,,
,"LED1,LED2",5mm LED’s,2,,https://www.rapidonline.com/kingbright-l-7113src-dv-5mm-super-bright-red-led-1600mcd-55-0131,,
