Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,"D4,D3,D1,D2",ZENER DIODE BZX55C2V0 Make sure its the 2v version,4,BZX55C2V0,https://www.ebay.co.uk/itm/0-5W-Zener-Diodes-BZX55C-Series-500mW-BZX55-DO-35-Many-Values-UK-Stock/113418083885?hash=item1a683e9e2d:m:mLbf73HZvHmO8FyTZKoNSvg,,
2,J1,Multicomp_MC9A12-1034_2x05_P2.54mm_Vertical,1,EURORACK POWER,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033,,
3,U7,DIP-8_W7.62mm_Socket_LongPads,1,TL072,,,
4,"U6,U5",DIP-14_W7.62mm_LongPads,2,AS3360,,,
5,"U4,U3,U2,U1",DIP-14_W7.62mm_LongPads,4,TL074,,,
31,"FB2,FB1",Resistor (preferable metal film 0.25W),2,10R,,,
6,"R72,R60,R59,R58,R57,R48,R47,R40,R39",Resistor (preferable metal film 0.25W),9,1K,,,
7,"R71,R70,R69,R68,R67,R66,R65,R56",Resistor (preferable metal film 0.25W),39,100K,,,
,"R55,R54,R53,R52,R51,R50,R49,R32,",,,,,,
,"R31,R30,R29,R28,R27,R26,R25,R24,",,,,,,
,"R23,R22,R21,R20,R19,R18,R17,R16,",,,,,,
,"R15,R14,R13,R12,R11,R10,R9",,,,,,
8,"R46,R43,R38,R35",Resistor (preferable metal film 0.25W),4,47K,,,
9,"R45,R42,R37,R34",Resistor (preferable metal film 0.25W),4,20K,,,
10,"R44,R41,R36,R33",Resistor (preferable metal film 0.25W),4,6k8,,,
11,"R8,R6,R4,R2",Resistor (preferable metal film 0.25W),4,470k,,,
12,"R7,R5,R3,R1",Resistor (preferable metal film 0.25W),4,220K,,,
13,"Q4,Q3,Q2,Q1",TO-92_Inline_Wide,4,2N3904,,,
14,"J22,J17,J16,J15,J14,J13,J12,J11,J10,J9,J8,J7,J6",JACK SOCKETS,13,6.35JACKS,https://www.mouser.co.uk/ProductDetail/REAN-Neutrik/NYS232?qs=%2Fha2pyFadugmnx0kZ8I0yxhALEezTEMSgSeTGJnT%252B4ByD9HE33EqVg==,,
27,"J5,J4,J3,J2",PinHeader_1x08_P2.54mm_Vertical,4,Main Board CONNECT,,,
32,"C14,C13,C12,C11,C10,C9,C8,C7,C4,C3",Ceramic Capacitor,10,100nf,,,
33,"C6,C5",Ceramic Capacitor,2,4n7,,,
34,"C2,C1",Electrolytic Capacitor,2,10uf,,,
